#reg1 reg2 reg3 reg4 tot 
  8.0961e-09   5.9013e-09   2.1769e-09   2.9276e-10   1.6919e-08 
  3.5922e-09   2.5822e-09   9.3769e-10   1.2385e-10   7.5054e-09 
  1.5848e-09   1.1276e-09   4.0590e-10   5.2657e-11   3.3315e-09 
  6.9552e-10   4.8942e-10   1.7374e-10   2.2603e-11   1.4769e-09 
  3.0366e-10   2.1219e-10   7.4299e-11   9.5658e-12   6.5667e-10 
  1.3177e-10   9.1747e-11   3.1757e-11   4.0522e-12   2.9325e-10 
  5.7012e-11   3.9349e-11   1.3688e-11   1.7236e-12   1.3198e-10 
  2.4587e-11   1.6879e-11   5.8528e-12   7.3114e-13   6.0086e-11 
  1.0576e-11   7.2318e-12   2.4811e-12   3.0845e-13   2.7767e-11 
  4.5258e-12   3.0927e-12   1.0595e-12   1.3526e-13   1.3084e-11 
  1.9389e-12   1.3163e-12   4.5115e-13   5.6630e-14   3.7630e-12 
